timestep,shared_packet_count,cross_talk_mean,temporal_feedback,interference_phase_std,collapse_gate,calculus_product
0,23,0.99650469565217392,0.00094872126086956513,0.80341426698145779,0,0
1,23,0.99676243478260829,0.0018086280869565217,0.73247878595159477,0,0
2,23,0.99697126086956522,0.0012455789565217392,0.73268121479922055,0,0
3,23,0.99714386956521739,0.00088689434782608721,0.73289903096180908,1,0.97949328065087
4,23,0.99728860869565206,0.00050135039130434788,0.78847296759926033,1,0.97928633337779258
5,23,0.99741199999999974,0.00029691860869565222,0.788189963236173,1,0.97922932644552363
6,23,0.9975179999999999,0.00014115968260869569,0.7797499909310015,1,0.97919696174695181
7,23,0.9976104347826088,5.8910556521739137E-05,0.83073597857074022,1,0.97921873132298543
8,23,0.99769117391304329,1.7517750869565216E-05,0.79963813883290635,1,0.97926463515111084
9,23,0.99776247826086961,4.5080073913043484E-06,0.71156046028105246,1,0.97932507089155629
10,23,0.99782578260869581,1.4748377826086955E-06,0.7117985638876837,1,0.97938303639087532
11,23,0.99788278260869567,9.1989643478260874E-07,0.76027169940241435,1,0.9794342482175441
12,23,0.99793378260869559,8.0194795652173916E-07,0.674970234482466,1,0.97947580716169214
13,23,0.9979797826086958,8.7576195652173884E-07,0.67456841523681055,1,0.97950855387377644
14,23,0.99802126086956533,7.3428634782608712E-07,0.67418594790927167,1,0.97953255510135429
15,23,0.99805921739130443,7.4562986956521729E-07,0.67382025438837823,1,0.97954906171149458
16,23,0.99809395652173938,7.4482278260869567E-07,0.67347024625431062,1,0.97955740242332667
17,23,0.99812543478260884,7.1930982608695651E-07,0.67313412172547149,1,0.97955772808299235
18,23,0.99815443478260868,5.8196347826086949E-07,0.852799282289195,1,0.979549421756357
19,23,0.99818130434782637,6.460276521739131E-07,0.92228880585510564,1,0.979533731394468
20,23,0.99820578260869541,5.5983499999999993E-07,0.87738377501911369,1,0.97950954933722167
21,23,0.99822843478260859,5.799358260869565E-07,0.82561943630596479,1,0.97947659382013808
22,23,0.99824952173913073,5.4202078260869551E-07,0.88178597241752932,1,0.97943515341772058
23,23,0.99826882608695655,5.4788008695652175E-07,0.82183130356476686,1,0.979384021962409
24,23,0.99828686956521728,4.835488260869565E-07,0.87165271505240327,1,0.97932389378129
25,23,0.99830334782608676,5.33644304347826E-07,0.84850714188536513,1,0.979253650888754
26,23,0.99831873913043478,5.1734147826086954E-07,0.848408256593536,1,0.97917349214349969
27,23,0.99833313043478233,4.3298956521739119E-07,0.81377918182558051,1,0.97908309192647869
28,23,0.99834634782608711,4.9261499999999994E-07,0.81396356839106854,1,0.97898210298703092
29,23,0.99835878260869582,4.0657547826086972E-07,0.70570673097673164,1,0.97887021183306255
30,23,0.99836991304347844,4.7329952173913052E-07,0.66863101743330378,1,0.97874660727088192
31,23,0.9983804782608694,4.599857391304348E-07,0.66904872090084655,1,0.978611580128664
32,23,0.998390434782609,3.81619695652174E-07,0.6694623618325064,1,0.97846551043126784
33,23,0.99839943478260873,4.387937826086957E-07,0.650341830550179,1,0.97830674621622948
34,23,0.99840756521739127,3.62170652173913E-07,0.65053521833282479,1,0.97813561856938669
35,23,0.99841530434782588,4.2640560869565214E-07,0.65072786911911018,1,0.97795235842369266
36,23,0.998422304347826,4.1607956521739128E-07,0.65092165983611538,1,0.97775601951493007
37,23,0.99842886956521759,3.4702413043478253E-07,0.65111432288509108,1,0.9775471151157199
38,23,0.998434608695652,3.9608373913043481E-07,0.65130687275372889,1,0.97732463295364147
39,23,0.99844008695652153,3.3413860869565215E-07,0.65150028313090036,1,0.97708950166271757
40,23,0.99844491304347827,3.3148021739130433E-07,0.62414110116530719,1,0.97684070411256185
41,23,0.998449304347826,3.671108695652174E-07,0.64674506198963477,1,0.97657864350680346
42,23,0.99845330434782609,3.5201186956521735E-07,0.7366381770260011,1,0.97630266734090632
43,23,0.99845678260869553,3.3297860869565216E-07,0.73676737165290263,1,0.9760129885771387
44,23,0.99845978260869583,3.6054330434782608E-07,0.76191791579564239,1,0.97570962087714375
45,23,0.99846252173913042,3.5719343478260868E-07,0.71478334382072162,1,0.97539237489212838
46,23,0.99846491304347862,3.0062639130434783E-07,0.73184913105205873,1,0.97506166261258087
